"Communication History","Communication History"
Submit,Submit
"Order # %1","Order # %1"
"Back to My Orders","Back to My Orders"
"View Another Order","View Another Order"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
success,success
"Order Communication has been saved !!","Order Communication has been saved !!"
"Ask Question!!","Ask Question!!"
Attachment!!,Attachment!!
"Notify Customer by Email","Notify Customer by Email"
"Visible on Storefront","Visible on Storefront"
"Comment added","Comment added"
"Ask you question!!","Ask you question!!"
Attachment,Attachment
"Looking forward for a positive response. For any query feel free to contact.","Looking forward for a positive response. For any query feel free to contact."
"Thank you","Thank you"
Webkul,Webkul
"Order History Communication","Order History Communication"
"General Options","General Options"
Enable,Enable
"Allowed File Extensions","Allowed File Extensions"
"Enter file extensions seperated by comma(,) like jpeg,png,gif,pdf","Enter file extensions seperated by comma(,) like jpeg,png,gif,pdf"
"Items Ordered","Items Ordered"
Invoices,Invoices
"Order Shipments","Order Shipments"
Refunds,Refunds
